rat_index,x,y
46,574.000000,3427.500000
47,54.500000,1666.500000
48,3809.000000,466.000000
49,1465.500000,2059.500000
50,480.000000,3575.500000
51,2124.731934,3435.172852
52,1127.000000,2837.000000
53,228.599472,820.097778
54,1050.297485,792.506226
55,1402.396240,2532.160645
56,524.796387,3082.631836
57,541.500000,3512.000000
58,1685.000000,2609.000000
59,675.000000,2799.500000
60,1456.500000,206.500000
61,3471.312988,3160.017578
62,3880.000000,1447.500000
63,839.202759,3991.500000
64,2594.000000,969.500000
65,1952.205688,3919.471924
66,3230.911621,2824.004883
67,548.663757,4077.165283
68,3801.500000,2759.000000
69,2391.833252,2936.166992
70,2016.883545,2027.536255
71,4019.706543,1220.288940
72,1578.794556,1830.045654
73,43.200008,518.699829
74,819.335999,3982.863525
75,2930.292480,535.900635
76,3824.427734,737.090942
77,1563.000000,395.500000
78,1121.000000,2106.500000
79,3438.000000,1088.500000
80,48.600014,1782.405518
81,3022.000244,3309.000244
82,196.300568,3378.388672
83,1112.500000,3457.000000
84,1470.997925,2422.518555
85,3337.763672,1140.696899
86,0.000000,3718.000000
87,2567.404785,3273.775146
88,2006.508545,3975.657227
89,3946.173340,3652.322754
90,30.500000,3326.000000
91,2148.195313,1284.497437
92,1112.594727,363.499054
93,2068.113770,2823.969482
94,3900.076660,3826.405518
95,1902.000000,2357.000000
96,1102.994141,1996.411865
97,2784.860352,3811.664307
98,4021.291504,832.889771
99,2912.368164,872.404297
100,2491.000000,1017.000000
101,1741.166016,2188.664307
102,304.398865,3175.718262
103,1469.500000,3457.000000
104,2742.500000,2057.000000
105,4022.090576,3627.893066
106,1101.000000,3040.500000
107,2152.500000,437.000000
108,3372.500000,681.500000
109,2845.000000,810.500000
110,2740.397461,2066.205078
111,673.509521,3984.690430
112,3389.000000,1355.000000
113,2755.309326,1539.160645
114,549.900452,2267.577148
115,1164.506958,3247.486816
116,2029.000000,449.000000
117,2523.671875,2903.388428
118,605.500000,2597.000000
119,2148.333008,2890.653076
120,425.000000,1141.000000
121,632.402344,2433.824219
122,376.500000,158.500000
123,1125.803711,2651.817383
124,2904.809570,4037.343018
125,1180.000000,469.000000
126,197.999680,3308.616211
127,3995.669189,3853.504395
128,587.500000,2548.500000
129,2694.183594,1207.098267
130,2389.602783,1768.098633
131,1669.847168,4076.998535
132,1990.200073,3328.656738
133,321.000885,370.193054
134,1917.097290,3483.307129
135,2613.373047,2835.018555
136,2923.011230,3769.333984
137,807.205078,1692.200928
138,2574.000000,2107.500000
